Serial,Word,Meaning,Study_score
150,Tumultuous,emotional,0
151,Providential,accidental,0
152,Illuminated,lighten,0
153,Spanseness,"thinness, rarity",0
154,Obscure,not clear or discovered,0
155,Plausibility,Chance of occuring,0
156,Superficial,shallow,0
157,Eccentric,"capricious, unpredictable, abnormal",0
158,Trifling,unimportant,0
159,Disinterestedness,indifferent,0
160,Disquiting,worrying,0
161,Ruminate,thinking of past,0
162,Prosaic,"traditional, Banal",1
163,Aloof,"unconcerned, passionless",0
164,Skittish,"restless, impatient",0
165,Tranquil,"quiet, calm",0
166,Vociferous,"wordy, loud",0
167,Demagogue,Political leader who seek support by appealing to popular desire,0
168,Malvolent,illwill,1
169,Valour,"courage, bravery",0
170,Devotion,"love, loyalty and enthausiasm for a person or activity",0
171,Coerce,obtain something by force or thread,0
172,Anomalous,abnormal,0
173,Epitomize,summery,0
174,Carucature,cartoon,0
175,unfettered,limitless or not restricted,0
176,consensus,general agreement,0
177,ossify,turn into bone,0
178,Streamline,make more efficient or effective,0
179,Contravane,violate any order of law,0
180,Acolyte,an assistant or follower,0
181,Martinet,a person who demand complete obidience,0
182,Ameliorate,improve,0
183,Anachronism,misplaced in time,0
184,Analogous,comparable,1
185,Anachry,absence of governing body,1
186,Anomalous,abnormal,1
187,Antipathy,dislike,0
188,Apathy,lack of caring,0
189,Apprise,inform,0
190,Appease,relief,0
191,Approbation,approval,0
192,Arduous,hard working,0
193,Artless,open and honest,0
194,Ascetic,practicing self denial,0
195,Assiduas,deligent,0
196,Assuage,"reduce, pacify",0
197,Flamboyant,aggrandize,0
198,Predicament,"situation, state",0
199,Homestead,foundation,0
200,Pathos,enthusiasm,0
201,Abreast,"alongside, side by side",0
202,Toiled,"work, labor",0
203,heretofore,"before, previous",1
204,Stint,"moderation, limit",0
205,Articulating,pronouncing clearly,0
206,Caprice,"impulse, addiction",0
207,Ecstatic,delightful,0
208,Stupor,"lazy, unconcious",0
209,Poignant,"severe, acute",1
210,Dogmatism,openionated,0
211,Orthodoxy,conventional,0
212,Modicum,small quantity of particular thing,0
213,Demur,show reluctance,0
214,Schism,"division, split, breach",0
215,Syntactical,according to the syntax,0
216,Sartorial,relating to tailoring,0
217,Frivolous,not having any serious purpose,0
218,Attenuate,make thin,0
219,Audacious,"brave, bold",0
220,Austere,severly simple and unornamented,1
221,Autonomous,independent,0
222,Aver,say confidently,0
223,Complaisant,"trying to please, overly polite",1
224,Compliant,"Yielding, follow the order",0
225,Conciliatory,"Reconciling, friendly",0
226,Condone,"overlook, forgive",0
227,Confound,"confuse, puzzle",0
228,Connoisseur,lover of art,0
229,Contention,"claim, quarrel",1
230,Contentious,quarrelsome,0
231,Contrite,penitent,0
232,Conundrum,riddle,0
233,Converge,"tend to meet, come together",0
234,Convoluted,"coiled around, involved",0
235,Craven,cowardly,0
236,Desiccate,dry up,0
237,Desultory,aimless,0
238,Manifests,"obvious, evident",0
239,Strenuous,"arduous, tough",0
240,Deterrent,something that discourage,0
241,Diatribe,bitter scolding,0
242,Dechotomy,branching into two parts,0
243,Diffidence,shyness,0
244,Diffuse,"wordy, loud",0
245,Digression,wandering away from the subject,0
246,Dirge,lament with music,0
247,Disabuse,correct the false impression,0
248,Discerning,mentally quick and observant,0
249,Discordant,not hermonic,0
250,Discredit,defame,0
251,Discrepancy,lack of consistancy,0
252,Discrete,separate,0
253,Disingenuous,Insincere,0
254,Disinterested,Unprejudiced,1
255,Disjoint,separated at the joint,0
256,Dismiss,reject,0
257,Disparage,"belittle, defame",1
258,Disparate,Basically different,0
259,Dissemble,pretend,0
260,Disseminate,spread,0
261,Dissolution,termination,0
262,Dissonance,discordant,0
263,Distend,expand,0
264,Distill,purify,0
265,Diverge,vary,0
266,Divest,deprive,1
267,Document,written prove,0
268,Dogmatic,opinionated,0
269,Dormant,sleeping,0
270,Dupe,someone easily fooled,0
271,adroit,"having or showing skill, cleverness",0
272,rationalize,to bring into accord with reason and cause,0
273,echelon,"grade, rank, position",0
274,substantive,involving matter of major or practical importance to all concerned,0
275,ample,generous or more than adequate in size,0
276,purport,"intend, purpose",1
277,skeptical,"doubtful, dubious",1
278,rescind,"cancel, revoke",0
279,albatross,source of frustration and guilt,0
280,wherewithal,money needed for a reason,0
281,prerogative,"right, advantage",0
282,idiosyncratic,"peculiar, individual",0
283,gimmick,mechanical device,1
284,zoonotic,an infactious diseses caused by a pathogen,0
285,incapacitate,prevent from functioning in normal way,0
286,stringent,"strict, precise and exacting",1
287,desiccation,remove the moisture and make completely dry,0
288,Despoil,"Steal or violently remove valuable possessions from, Rob",0
289,Verdant,Green with grass,0
290,Rigour,"Throughness, diligent",0
291,Detrimental,Causing harm,0
292,Antithetical,"Directly opposed or contrasted, mutually incompatible",1
293,Ideosyncratic,"Distinctive, Individual, Peculiar",0
294,Ataraxia,Calmness or peace of mind,0
295,Dolor,State of great sorrow,0
296,Herald,To announce or tell publicly,0
297,Alphabet,Set of letters with which a language is written,1
298,Ancestor,Person from whome one is descended,0
299,Anonimity,Quality or state of being unknown,0
300,Bucolic,Relating to the rustic and pleasant aspect of the country,0
301,Capriol,Playful leap,0
302,Caterwaul,To scream or make a harsh cry,1
303,Excavate,To dig a large hole,0
304,Incongruous,Not agreeing with what is expected or usual,1
305,Menacing,Threatening or suggesting danger,0
306,Acuman,Ability to use reason to make good decision,0
307,Dexterous,Skillful in physical movement,0
308,Downcast,Filled with melancholy,0
309,Irreverent,Showing lack of due respect,0
310,Panache,Distinctive and stylish elegence,0
311,grimy,"dirty, soiled ",0
312,Omnipotent ,Having unlimited or infinite power,0
313,Ruminate,To think deeply or carefully ,0
314,Scrupulous ,Characterised by extreme care and effort,0
315,Triathlon ,"Contest involving swimming, running and cycling ",0
316,Ordain,To establish or order by law,0
317,Decree,To officially order or require,0
318,Decay,"Perish, Decompose",0
319,Blandish,"Persuade with flattery, Cajole",0
320,Petrify,To terrify or Frightened,0
321,Evanescent,Passing out of sight or memories quickly ,0
322,Eulogies,Praise formally and eloquently ,0
323,Benevolent,Showing or motivate by sympathy and generosity,0
324,Triumphant,Celebrating victory or success,0
325,Grating,Sounding harsh and irritating,0
326,Commiserate,To feel or express sympathy or compession,0
327,Comminute,To pulverize or destroy,0
328,Captivated,Filled with wonder and delight,0
329,anoint ,choose by devine intervention,0
330,coruscate,sparkle,0
331,domestocate,to overcome the wildness ,0
332,herbivore ,plant eater,0
333,Parochial,Narrowly restricted in scope or outlook,0
334,Frugal,Not spending much money but spending wisely,0
335,Amenable,Easily persuaded,0
336,Disinterested,Unbiased or neutral,0
337,Enervate,To sap energy from,0
338,Intimate,To suggest something Subtly,0
339,Calumny,Making a false statement,0
340,Chastise,To reprimend harshly,0
341,Upbraid,"To scold, To reproach",0
342,Galvanize,To excite or inspire to action,0
343,Metastasize,"Spread, Strew",0
344,Adjure,Beg,0
345,Hearten,"Encourage, Enliven",0
346,Dawdle,Delay,0
347,Laughing Stock (P),Subject of redicule,0
348,Edacious,Relating to eating,0
349,Excursion,short journey or trip,0
350,Noxious,Injurious to physical or mental health,0
351,Stumble,To walk Unsteadily,0
